,sample_id,label
0,0,0
1,1,1
2,2,1
3,3,2
4,4,1
5,5,0
6,6,0
7,7,2
8,8,0
9,9,2
10,10,0
11,11,1
12,12,1
13,13,0
14,14,2
15,15,0
16,16,1
17,17,0
18,18,1
19,19,0
20,20,0
21,21,2
22,22,2
23,23,0
24,24,1
25,25,2
26,26,0
27,27,0
28,28,1
29,29,0
30,30,2
31,31,1
32,32,0
33,33,2
34,34,0
35,35,2
36,36,1
37,37,1
38,38,0
39,39,1
40,40,1
41,41,0
42,42,1
43,43,2
44,44,2
45,45,2
46,46,1
47,47,0
48,48,1
49,49,0
50,50,0
51,51,0
52,52,2
53,53,2
54,54,1
55,55,1
56,56,0
57,57,0
58,58,1
59,59,0
60,60,0
61,61,0
62,62,1
63,63,2
64,64,0
65,65,0
66,66,1
67,67,1
68,68,1
69,69,0
70,70,1
71,71,0
72,72,1
73,73,0
74,74,1
75,75,0
76,76,0
77,77,2
78,78,1
79,79,2
80,80,2
81,81,0
82,82,0
83,83,2
84,84,0
85,85,0
86,86,2
87,87,2
88,88,0
89,89,1
90,90,0
91,91,0
92,92,0
93,93,2
94,94,1
95,95,1
96,96,0
97,97,2
98,98,2
99,99,2
100,100,0
101,101,0
102,102,2
103,103,0
104,104,0
105,105,1
106,106,0
107,107,0
108,108,0
109,109,1
110,110,0
111,111,2
112,112,0
113,113,0
114,114,1
115,115,1
116,116,0
117,117,0
118,118,1
119,119,1
120,120,2
121,121,1
122,122,1
123,123,0
124,124,0
125,125,1
126,126,2
127,127,1
128,128,1
129,129,0
130,130,1
131,131,1
132,132,0
133,133,1
134,134,1
135,135,2
136,136,2
137,137,0
138,138,0
139,139,0
140,140,2
141,141,0
142,142,0
143,143,2
144,144,0
145,145,1
146,146,0
147,147,2
148,148,1
149,149,1
150,150,1
151,151,0
152,152,0
153,153,1
154,154,0
155,155,1
156,156,0
157,157,1
158,158,0
159,159,1
160,160,0
161,161,2
162,162,1
163,163,0
164,164,0
165,165,1
166,166,0
167,167,2
168,168,2
169,169,0
170,170,1
171,171,1
172,172,2
173,173,0
174,174,2
175,175,0
176,176,1
177,177,0
178,178,0
179,179,0
180,180,1
181,181,0
182,182,1
183,183,2
184,184,1
185,185,0
186,186,2
187,187,1
188,188,2
189,189,0
190,190,0
191,191,2
192,192,0
193,193,1
194,194,2
195,195,0
196,196,1
197,197,1
198,198,0
199,199,1
200,200,2
201,201,2
202,202,0
203,203,0
204,204,2
205,205,0
206,206,0
207,207,1
208,208,0
209,209,0
210,210,1
211,211,2
212,212,1
213,213,0
214,214,0
215,215,1
216,216,0
217,217,2
218,218,1
219,219,2
220,220,2
221,221,1
222,222,0
223,223,1
224,224,0
225,225,1
226,226,1
227,227,0
228,228,2
229,229,2
230,230,2
231,231,2
232,232,2
233,233,0
234,234,2
235,235,1
236,236,1
237,237,0
238,238,2
239,239,0
240,240,0
241,241,0
242,242,0
243,243,1
244,244,1
245,245,1
246,246,1
247,247,2
248,248,1
249,249,2
250,250,1
251,251,0
252,252,0
253,253,1
254,254,0
255,255,1
256,256,1
257,257,0
258,258,2
259,259,0
260,260,0
261,261,1
262,262,1
263,263,2
264,264,1
265,265,2
266,266,0
267,267,0
268,268,0
269,269,0
270,270,2
271,271,1
272,272,2
273,273,1
274,274,2
275,275,0
276,276,1
277,277,2
278,278,1
279,279,0
280,280,2
281,281,1
282,282,1
283,283,1
284,284,0
285,285,0
286,286,0
287,287,0
288,288,2
289,289,0
290,290,0
291,291,0
292,292,2
293,293,1
294,294,1
295,295,1
296,296,0
297,297,0
298,298,2
299,299,0
300,300,0
301,301,1
302,302,0
303,303,0
304,304,0
305,305,2
306,306,1
307,307,1
308,308,1
309,309,0
310,310,2
311,311,1
312,312,2
313,313,1
314,314,2
315,315,1
316,316,2
317,317,0
318,318,2
319,319,0
320,320,1
321,321,0
322,322,0
323,323,1
324,324,2
325,325,1
326,326,2
327,327,0
328,328,0
329,329,2
330,330,0
331,331,0
332,332,0
333,333,1
334,334,0
335,335,0
336,336,1
337,337,1
338,338,2
339,339,0
340,340,0
341,341,2
342,342,2
343,343,1
344,344,0
345,345,2
346,346,0
347,347,1
348,348,1
349,349,0
350,350,0
351,351,1
352,352,1
353,353,0
354,354,0
355,355,1
356,356,0
357,357,1
358,358,2
359,359,0
360,360,0
361,361,0
362,362,1
363,363,0
364,364,2
365,365,0
366,366,0
367,367,0
368,368,0
369,369,0
370,370,0
371,371,1
372,372,0
373,373,1
374,374,1
375,375,1
376,376,0
377,377,0
378,378,2
379,379,1
380,380,1
381,381,2
382,382,1
383,383,1
384,384,0
385,385,2
386,386,1
387,387,0
388,388,0
389,389,2
390,390,0
391,391,0
392,392,0
393,393,1
394,394,1
395,395,0
396,396,1
397,397,1
398,398,1
399,399,0
400,400,1
401,401,0
402,402,2
403,403,0
404,404,0
405,405,1
406,406,2
407,407,0
408,408,1
409,409,2
410,410,0
411,411,0
412,412,1
413,413,0
414,414,1
415,415,0
416,416,0
417,417,1
418,418,1
419,419,2
420,420,1
421,421,2
422,422,0
423,423,0
424,424,0
425,425,2
426,426,1
427,427,1
428,428,1
429,429,0
430,430,0
431,431,1
432,432,0
433,433,2
434,434,0
435,435,1
436,436,2
437,437,1
438,438,0
439,439,1
440,440,1
441,441,2
442,442,0
443,443,0
444,444,0
445,445,0
446,446,2
447,447,1
448,448,0
449,449,0
450,450,1
451,451,1
452,452,0
453,453,0
454,454,0
455,455,1
456,456,0
457,457,0
458,458,2
459,459,0
460,460,0
461,461,2
462,462,2
463,463,1
464,464,0
465,465,0
466,466,1
467,467,2
468,468,1
469,469,2
470,470,1
471,471,1
472,472,0
473,473,0
474,474,2
475,475,1
476,476,2
477,477,0
478,478,1
479,479,0
480,480,0
481,481,0
482,482,2
483,483,0
484,484,2
485,485,2
486,486,0
487,487,0
488,488,1
489,489,2
490,490,1
491,491,0
492,492,0
493,493,1
494,494,0
495,495,0
496,496,0
497,497,0
498,498,1
499,499,0
500,500,0
501,501,1
502,502,0
503,503,0
504,504,0
505,505,0
506,506,0
507,507,1
508,508,2
509,509,2
510,510,0
511,511,1
512,512,2
513,513,1
514,514,1
515,515,1
516,516,0
517,517,1
518,518,2
519,519,0
520,520,2
521,521,2
522,522,1
523,523,0
524,524,1
525,525,2
526,526,1
527,527,0
528,528,1
529,529,2
530,530,0
531,531,0
532,532,1
533,533,2
534,534,0
535,535,0
536,536,2
537,537,2
538,538,1
539,539,0
540,540,0
541,541,1
542,542,0
543,543,1
544,544,2
545,545,0
546,546,0
547,547,2
548,548,0
549,549,1
550,550,0
551,551,1
552,552,0
553,553,0
554,554,0
555,555,0
556,556,1
557,557,1
558,558,2
559,559,0
560,560,0
561,561,0
562,562,2
563,563,1
564,564,1
565,565,1
566,566,0
567,567,0
568,568,1
569,569,2
570,570,0
571,571,1
572,572,0
573,573,0
574,574,1
575,575,0
576,576,0
577,577,0
578,578,1
579,579,2
580,580,0
581,581,0
582,582,2
583,583,0
584,584,1
585,585,1
586,586,2
587,587,1
588,588,1
589,589,1
590,590,1
591,591,1
592,592,0
593,593,2
594,594,0
595,595,0
596,596,0
597,597,2
598,598,1
599,599,1
600,600,1
601,601,1
602,602,0
603,603,0
604,604,2
605,605,0
606,606,0
607,607,0
608,608,0
609,609,1
610,610,1
611,611,2
612,612,0
613,613,1
614,614,1
615,615,0
616,616,1
617,617,2
618,618,2
619,619,0
620,620,1
621,621,2
622,622,1
623,623,0
624,624,0
625,625,0
626,626,2
627,627,0
628,628,0
629,629,2
630,630,1
631,631,0
632,632,0
633,633,0
